1,Amazing Resorts,Harmony Hills Hotel,56 Dapin Drive
2,Great Hotels,Emerald Isle Resort,275 Gerald Drive
3,Amazing Resorts,Seaside Escape Resort,86 Butternut Street
4,Majestic Resorts,Hidden Oasis Resort,38 Lyons Point
5,Majestic Resorts,Wildflower Inn,0 Valley Edge Junction
6,Great Hotels,Golden Gate Hotel,45289 Pleasure Parkway
7,Great Hotels,Rainbow Valley Inn,8388 Sheridan Terrace
8,Great Hotels,Golden Sands Hotel,270 Ridgeway Avenue
9,Great Hotels,Moonlight Motel,1843 Cardinal Circle
10,Great Hotels,Whitewater Lodge,666 Lukken Lane
11,Great Hotels,Tranquil Waters Hotel,91424 Lien Way
12,Great Hotels,Sunnyvale Inn,649 Jay Avenue
13,Majestic Resorts,Cedar Ridge Lodge,24 Vera Street
14,Amazing Resorts,Serenity Springs Resort,9279 Monument Street
15,Great Hotels,Cedar Ridge Lodge,77 Portage Avenue
16,Amazing Resorts,Rainbow Valley Inn,4341 Brown Junction
17,Majestic Resorts,Silver Lake Retreat,62 Namekagon Point
18,Majestic Resorts,Seaside Escape Resort,493 Raven Point
19,Great Hotels,Cedar Ridge Lodge,4507 Walton Road
20,Majestic Resorts,Mountain Top Inn,1416 Shoshone Center
