1,Indoor pool
2,Valet parking
3,Early check-in
4,On-site restaurant
5,late checkout
6,Early check-in
7,On-site restaurant
8,Indoor pool
9,Fitness center
10,Business center
11,Valet parking
12,late checkout
13,Early check-in
14,late checkout
15,late checkout
16,late checkout
17,Pet-friendly
18,State of the art secuirty system
19,Spa
20,Valet parking
1,Free breakfast
4,Pet-friendly
20,late checkout
20,Pet-friendly
19,State of the art secuirty system
18,late checkout
17,Early check-in
16,Valet parking
15,Pet-friendly
14,On-site restaurant
10,Early check-in
8,late checkout
7,late checkout
9,Valet parking
1,late checkout
5,Business center
2,On-site restaurant
4,Valet parking
3,Pet-friendly
1,Pet-friendly
