45,8,129,Reserved,151,141,12,Smoking Double
26,12,92,Being Cleaned,153,36,4,Double
43,8,182,Being Cleaned,190,114,20,Double
31,12,144,Reserved,155,76,4,Double
14,3,146,Currently Occupied,39,194,11,Penthouse
47,1,191,Being Cleaned,8,103,9,Penthouse
68,6,90,Being Cleaned,63,155,2,Single
4,2,159,Currently Occupied,186,195,19,Suite
18,9,100,Reserved,126,70,18,Single
40,11,81,Reserved,90,123,14,Single
91,9,196,Currently Occupied,22,67,5,Single
50,8,73,Being Cleaned,16,37,5,Single
1,11,86,Being Cleaned,158,23,6,Suite
96,5,75,Reserved,33,99,2,Suite
85,5,186,Being Cleaned,5,100,4,Single
16,12,138,Being Cleaned,155,180,12,Penthouse
43,8,87,Being Cleaned,180,143,8,Penthouse
63,9,132,Reserved,83,192,9,Double
24,3,83,Open and Ready,160,145,16,Single
95,12,157,Being Cleaned,199,98,1,King
18,6,198,Being Cleaned,168,24,16,King
33,3,123,Reserved,45,7,20,Suite
92,10,146,Being Cleaned,7,166,17,Suite
75,8,177,Reserved,160,37,18,Double
38,11,132,Open and Ready,165,117,14,King
80,12,121,Reserved,185,48,14,Double
94,2,114,Open and Ready,179,82,20,Single
73,6,158,Being Cleaned,135,59,20,Suite
35,8,192,Reserved,95,154,12,Suite
52,1,192,Being Cleaned,89,42,20,Double
43,11,115,Being Cleaned,32,148,16,Suite
21,2,86,Reserved,7,161,20,Smoking Double
44,9,143,Reserved,50,163,4,Family Style
40,6,145,Reserved,44,163,10,King
100,7,120,Being Cleaned,18,180,1,Double
10,11,185,Reserved,194,13,17,Penthouse
65,6,90,Reserved,51,167,13,King
15,2,192,Open and Ready,83,178,16,Smoking Double
37,11,100,Being Cleaned,26,56,7,Family Style
40,3,142,Currently Occupied,163,33,20,Family Style
65,2,125,Open and Ready,199,53,2,Smoking Single
75,7,132,Currently Occupied,74,20,8,Suite
32,3,93,Currently Occupied,192,55,5,King
96,4,115,Reserved,85,22,11,Family Style
34,3,128,Reserved,13,145,5,Penthouse
9,1,166,Reserved,3,121,6,King
2,9,193,Open and Ready,124,177,11,Double
55,12,144,Open and Ready,116,71,2,Single
82,6,90,Open and Ready,123,100,4,Family Style
1,2,157,Being Cleaned,119,104,2,Smoking Double
7,12,107,Being Cleaned,149,200,11,Double
91,4,123,Currently Occupied,74,146,6,Suite
75,8,189,Reserved,84,102,14,Double
17,4,158,Reserved,41,23,10,Suite
15,9,75,Open and Ready,23,79,15,Double
68,10,107,Reserved,138,156,8,Single
61,7,198,Being Cleaned,65,196,1,Smoking Single
91,4,154,Reserved,11,139,10,King
12,1,119,Being Cleaned,102,47,7,Smoking Single
17,9,189,Currently Occupied,65,141,15,Single
28,11,149,Open and Ready,57,78,10,King
99,12,151,Currently Occupied,154,198,2,Single
78,10,187,Open and Ready,12,100,13,Double
53,1,168,Reserved,54,88,4,Suite
