1	20	144	2021-08-13	2025-03-25	2025-03-27	Penthouse
2	6	62	2016-09-10	2019-01-23	2019-01-24	Single
3	14	83	2020-10-21	2027-07-28	2027-08-08	Single
4	1	53	2015-02-01	2020-02-19	2020-03-05	Suite
5	2	124	2021-05-20	2029-12-02	2029-12-09	Double
6	5	53	2017-10-28	2020-05-23	2020-06-01	Double
7	20	24	2022-08-21	2027-02-03	2027-02-18	Double
8	17	24	2018-02-11	2019-10-12	2019-10-24	Family Style
9	3	104	2023-10-05	2025-03-21	2025-03-24	Smoking Double
10	9	18	2012-12-24	2015-07-11	2015-08-01	King
11	20	120	2020-01-16	2024-12-10	2024-12-30	Smoking Single
12	20	35	2012-07-19	2022-12-23	2023-01-01	Penthouse
13	13	180	2024-02-14	2026-04-12	2026-04-26	Double
14	11	108	2015-01-07	2017-06-18	2017-07-02	Smoking Single
15	4	20	2020-10-29	2028-11-03	2028-11-23	Double
16	7	98	2015-07-13	2016-06-21	2016-07-07	Smoking Single
17	10	101	2022-02-16	2029-01-04	2029-01-12	Smoking Single
18	13	77	2017-12-09	2019-06-02	2019-06-22	Double
19	2	159	2022-10-03	2029-09-24	2029-10-11	Penthouse
20	16	182	2014-02-10	2018-09-07	2018-09-15	Smoking Double
21	1	44	2021-07-28	2024-06-21	2024-06-24	Smoking Double
22	8	97	2018-08-08	2019-07-31	2019-08-21	Smoking Single
23	5	70	2024-01-08	2024-11-25	2024-12-09	Family Style
24	20	199	2016-07-20	2023-06-15	2023-07-03	Smoking Single
25	7	26	2023-08-29	2028-04-23	2028-04-28	Double
26	20	135	2018-09-29	2018-11-12	2018-11-15	Single
27	3	145	2020-08-12	2027-02-13	2027-02-22	Double
28	2	80	2014-09-12	2015-09-09	2015-09-23	King
29	4	179	2022-11-23	2025-08-03	2025-08-17	King
30	11	159	2014-07-03	2015-05-11	2015-05-14	Family Style
31	7	195	2020-08-01	2028-07-21	2028-07-29	Smoking Single
32	14	8	2017-10-01	2018-12-09	2018-12-22	King
33	8	151	2023-02-09	2029-05-09	2029-05-30	Double
34	20	77	2017-02-02	2019-05-19	2019-06-08	Smoking Single
35	10	58	2020-02-17	2029-12-21	2029-12-24	Single
36	15	175	2019-01-24	2019-06-04	2019-06-07	Single
37	11	63	2020-08-24	2025-12-22	2026-01-02	Double
38	3	38	2016-07-19	2018-05-14	2018-05-16	Penthouse
39	4	48	2023-05-27	2029-11-22	2029-12-04	Penthouse
40	18	57	2014-03-22	2020-02-23	2020-02-27	Suite
41	11	106	2020-06-17	2024-06-15	2024-06-16	Smoking Single
42	6	106	2012-02-11	2015-10-22	2015-10-25	Smoking Double
43	3	28	2022-09-22	2029-11-25	2029-12-12	Smoking Single
44	4	143	2016-07-10	2023-09-20	2023-10-07	Smoking Double
45	4	53	2021-02-06	2026-09-25	2026-09-27	Penthouse
46	13	37	2014-02-19	2016-08-22	2016-09-01	Smoking Double
47	18	168	2020-01-03	2024-10-30	2024-11-12	Penthouse
48	12	198	2017-03-01	2021-04-22	2021-05-11	Smoking Double
49	19	66	2022-10-19	2025-09-16	2025-09-28	King
50	9	200	2019-02-24	2022-11-20	2022-11-28	Suite
51	8	92	2021-06-22	2027-02-05	2027-02-16	Smoking Double
52	20	11	2017-04-19	2020-09-07	2020-09-23	Family Style
53	20	21	2024-03-11	2027-02-02	2027-02-21	Penthouse
54	18	141	2014-11-15	2023-03-21	2023-04-08	King
55	3	37	2020-12-03	2029-05-06	2029-05-08	Double
56	15	10	2017-02-18	2023-05-10	2023-05-18	Penthouse
57	6	67	2022-09-22	2029-04-29	2029-05-02	Smoking Single
58	15	98	2010-03-21	2013-12-20	2014-01-09	Family Style
59	2	185	2024-03-21	2027-03-24	2027-04-05	Smoking Single
60	10	108	2017-07-29	2019-10-13	2019-10-26	King
61	17	16	2021-06-29	2025-02-22	2025-03-08	Double
62	19	179	2010-05-23	2013-10-09	2013-10-27	Suite
63	10	63	2024-03-25	2029-05-02	2029-05-20	Double
64	4	100	2017-12-19	2023-11-12	2023-11-29	King
65	18	20	2023-10-07	2028-04-07	2028-04-23	Single
66	13	135	2017-05-03	2019-05-04	2019-05-23	Smoking Double
67	6	56	2023-04-13	2028-05-17	2028-06-01	Double
68	16	100	2012-09-19	2023-02-09	2023-02-15	Single
69	11	137	2021-10-06	2028-05-21	2028-06-04	Suite
70	10	59	2019-10-28	2021-04-30	2021-05-02	Single
71	3	125	2022-12-29	2027-06-01	2027-06-16	Suite
72	15	139	2012-04-09	2013-09-03	2013-09-04	King
73	4	102	2021-09-19	2024-05-31	2024-06-12	King
74	8	54	2012-09-05	2017-11-29	2017-12-07	Double
75	6	187	2022-08-23	2029-07-19	2029-08-07	Penthouse
76	4	97	2015-10-22	2019-11-27	2019-12-08	Family Style
77	13	198	2023-07-04	2026-01-14	2026-01-24	King
78	5	149	2012-09-23	2022-06-17	2022-06-25	King
79	10	173	2023-12-28	2024-08-01	2024-08-20	Single
80	7	132	2013-05-31	2018-02-04	2018-02-22	Smoking Double
81	14	28	2022-10-06	2025-12-20	2025-12-23	Penthouse
82	6	114	2011-05-06	2020-12-02	2020-12-09	Penthouse
83	18	147	2021-08-20	2026-01-12	2026-01-21	Smoking Single
84	7	107	2011-03-02	2017-03-19	2017-03-26	Family Style
85	16	96	2021-06-28	2024-04-04	2024-04-18	Family Style
86	9	196	2019-03-01	2022-01-11	2022-01-25	Penthouse
87	2	182	2020-03-22	2026-10-04	2026-10-24	Double
88	6	195	2011-07-29	2018-11-10	2018-11-24	Single
89	18	54	2022-12-10	2027-05-31	2027-06-15	Double
90	18	48	2018-03-14	2022-08-14	2022-08-22	Smoking Single
91	19	103	2024-02-15	2027-12-10	2027-12-11	King
92	20	48	2013-08-08	2016-08-06	2016-08-25	Smoking Double
93	5	51	2022-08-30	2027-06-08	2027-06-28	Suite
94	14	48	2013-05-31	2022-03-03	2022-03-21	Double
95	19	178	2020-04-15	2027-06-25	2027-07-13	Double
96	8	92	2019-11-11	2022-03-24	2022-04-06	Penthouse
97	14	6	2022-10-23	2027-11-16	2027-11-17	Suite
98	10	181	2012-10-20	2017-01-05	2017-01-22	King
99	7	135	2024-01-17	2026-07-09	2026-07-22	Smoking Double
100	11	182	2017-04-18	2020-12-08	2020-12-20	Penthouse
101	13	136	2020-11-14	2028-10-12	2028-10-19	Double
102	5	104	2010-08-18	2016-02-04	2016-02-08	Suite
103	17	45	2022-10-26	2025-02-08	2025-03-01	King
104	5	185	2014-01-31	2021-08-17	2021-09-05	Family Style
105	12	106	2021-11-24	2026-09-01	2026-09-21	Penthouse
106	13	52	2014-11-04	2022-08-02	2022-08-10	Suite
107	1	43	2020-12-04	2026-04-18	2026-05-08	Double
108	6	123	2019-11-19	2023-04-03	2023-04-04	Family Style
109	19	123	2022-06-03	2027-03-05	2027-03-14	Double
110	16	147	2018-10-27	2020-11-16	2020-11-29	Smoking Double
111	6	143	2021-05-08	2024-08-08	2024-08-10	Smoking Double
112	5	45	2015-07-27	2018-04-27	2018-05-05	Penthouse
113	2	32	2022-01-26	2029-11-25	2029-12-04	Smoking Double
114	17	116	2013-10-09	2016-09-02	2016-09-12	Double
115	19	193	2021-10-22	2027-09-09	2027-09-22	Smoking Double
116	18	110	2019-02-07	2022-11-21	2022-12-07	Smoking Double
117	5	87	2021-06-29	2029-02-17	2029-03-06	Smoking Double
118	11	176	2012-06-18	2020-03-08	2020-03-23	Suite
119	15	136	2020-09-01	2026-10-21	2026-11-01	Double
120	13	43	2012-04-02	2016-05-26	2016-05-29	Smoking Double
121	18	127	2020-11-15	2024-08-20	2024-08-24	Single
122	13	174	2011-01-22	2013-02-27	2013-03-11	Smoking Double
123	8	37	2022-09-27	2028-10-14	2028-10-28	Suite
124	13	27	2017-06-09	2021-05-03	2021-05-19	Penthouse
125	14	37	2021-05-14	2028-07-15	2028-08-01	Single
126	20	51	2010-09-12	2021-01-03	2021-01-21	Family Style
127	7	124	2020-12-15	2027-12-11	2027-12-16	Family Style
128	18	39	2010-03-14	2021-04-04	2021-04-22	Double
129	12	103	2022-12-31	2028-10-24	2028-10-27	Family Style
130	14	192	2014-10-02	2018-11-26	2018-12-10	Single
131	13	31	2022-11-26	2027-09-12	2027-09-25	Family Style
132	1	74	2017-08-15	2021-01-02	2021-01-21	Double
133	16	18	2020-04-28	2028-11-27	2028-12-07	Suite
134	9	168	2019-02-14	2024-01-23	2024-01-29	Family Style
135	11	113	2020-10-08	2026-09-10	2026-09-17	Smoking Single
136	5	137	2018-02-28	2021-09-19	2021-09-23	Double
137	4	50	2022-07-19	2024-10-31	2024-11-09	Smoking Single
138	14	137	2015-12-08	2023-12-21	2023-12-31	Double
139	4	190	2022-10-04	2029-09-24	2029-10-02	Smoking Single
140	12	171	2017-10-10	2019-05-16	2019-06-01	Single
141	15	158	2023-03-22	2027-12-20	2027-12-27	Double
142	11	117	2010-05-04	2014-04-29	2014-05-09	Suite
143	19	57	2022-03-14	2029-11-05	2029-11-08	Suite
144	10	176	2010-11-23	2011-07-07	2011-07-09	Penthouse
145	9	196	2020-11-08	2026-03-26	2026-03-30	Suite
146	20	46	2019-08-23	2021-10-06	2021-10-07	Family Style
147	12	59	2022-12-23	2025-06-02	2025-06-08	Penthouse
148	2	57	2017-11-11	2022-12-08	2022-12-13	Single
149	9	179	2022-01-13	2027-02-24	2027-03-01	Smoking Double
150	7	79	2014-07-30	2021-05-18	2021-05-28	Smoking Single
151	17	83	2021-10-28	2028-12-04	2028-12-23	Smoking Double
152	2	109	2018-11-08	2022-01-24	2022-02-04	King
153	9	83	2023-04-14	2028-09-15	2028-09-20	Family Style
154	2	35	2014-01-30	2023-10-01	2023-10-21	Suite
155	9	55	2020-10-19	2027-04-24	2027-05-02	Smoking Double
156	20	191	2010-10-11	2019-10-01	2019-10-20	Suite
157	16	170	2022-12-21	2026-07-28	2026-07-29	Smoking Double
158	15	147	2014-07-30	2022-01-26	2022-02-07	King
159	12	41	2020-09-26	2024-05-15	2024-05-30	Double
160	2	39	2012-12-18	2020-10-15	2020-10-29	Suite
161	16	200	2023-09-26	2025-06-01	2025-06-05	Suite
162	6	152	2012-01-27	2020-05-03	2020-05-14	Family Style
163	12	110	2020-05-01	2026-03-27	2026-04-06	Smoking Double
164	3	74	2014-02-11	2022-11-28	2022-12-16	Smoking Single
165	11	56	2020-12-10	2024-12-04	2024-12-17	Family Style
166	19	140	2013-10-08	2017-05-18	2017-06-07	Penthouse
167	4	97	2020-07-14	2024-10-25	2024-10-30	King
168	6	163	2012-02-03	2020-08-18	2020-09-02	King
169	19	149	2020-09-08	2027-10-05	2027-10-16	Smoking Single
170	5	169	2013-12-16	2020-08-30	2020-09-02	Suite
171	8	176	2022-02-23	2029-08-04	2029-08-15	Smoking Double
172	17	29	2016-10-20	2019-07-17	2019-08-02	Smoking Single
173	16	73	2021-06-21	2026-09-12	2026-09-26	Single
174	15	196	2018-10-23	2021-09-10	2021-09-17	Penthouse
175	19	105	2020-10-01	2027-11-03	2027-11-12	King
176	17	105	2016-01-17	2024-03-13	2024-04-03	Smoking Double
177	15	147	2021-01-04	2027-10-26	2027-11-07	Suite
178	15	189	2013-03-31	2018-06-04	2018-06-10	Suite
179	13	131	2023-09-30	2025-04-22	2025-05-10	Suite
180	1	59	2016-06-29	2021-02-08	2021-02-26	Penthouse
181	4	188	2024-03-04	2028-11-27	2028-12-11	Double
182	7	38	2013-03-12	2023-04-17	2023-04-30	Smoking Double
183	6	138	2022-09-03	2027-07-16	2027-07-17	Smoking Double
184	10	160	2018-05-25	2023-01-14	2023-01-26	Smoking Single
185	1	27	2022-03-27	2024-07-31	2024-08-10	Smoking Single
186	17	34	2011-12-26	2020-10-18	2020-11-02	Family Style
187	5	116	2022-05-14	2029-03-25	2029-04-10	Penthouse
188	11	114	2016-02-14	2021-09-21	2021-10-09	Single
189	1	119	2021-10-15	2025-04-17	2025-04-24	Penthouse
190	4	45	2018-05-04	2021-04-05	2021-04-07	Family Style
191	14	23	2021-01-12	2026-01-02	2026-01-14	Single
192	8	40	2019-02-06	2020-12-29	2021-01-17	Double
193	18	118	2023-01-09	2029-01-28	2029-02-01	Suite
194	8	7	2014-01-16	2019-08-08	2019-08-09	King
195	17	38	2020-10-17	2025-11-06	2025-11-09	Suite
196	11	95	2010-09-01	2021-12-26	2021-12-27	Smoking Single
197	11	154	2021-01-07	2027-02-03	2027-02-08	King
198	12	105	2011-03-15	2022-07-30	2022-08-17	Double
199	5	44	2024-01-20	2026-06-25	2026-06-26	Double
200	7	23	2012-09-11	2017-01-04	2017-01-11	Suite
201	15	2	2022-02-12	2026-10-08	2026-10-27	Smoking Double
202	17	163	2019-09-03	2019-11-30	2019-12-20	Family Style
203	13	50	2023-02-08	2029-12-27	2030-01-10	King
204	3	12	2019-06-15	2022-02-04	2022-02-12	Penthouse
205	13	107	2024-02-23	2029-05-12	2029-05-27	Smoking Single
206	7	191	2017-06-21	2018-05-19	2018-06-06	Penthouse
207	5	167	2021-09-27	2025-05-06	2025-05-08	Penthouse
208	12	80	2014-04-01	2023-11-24	2023-12-06	Suite
209	3	66	2020-09-28	2029-09-08	2029-09-14	Smoking Single
210	2	149	2019-07-31	2022-01-13	2022-01-31	Single
211	1	141	2023-04-12	2027-04-22	2027-05-08	Single
212	12	139	2015-02-26	2024-03-16	2024-03-29	Single
213	14	67	2023-08-02	2028-08-20	2028-09-02	Penthouse
214	4	140	2019-08-05	2022-12-17	2022-12-22	Penthouse
215	6	192	2022-08-12	2025-11-05	2025-11-24	Penthouse
216	17	186	2017-03-13	2021-09-02	2021-09-13	Smoking Single
217	12	187	2024-02-19	2027-07-06	2027-07-25	Penthouse
218	10	99	2017-01-05	2020-02-26	2020-03-05	Double
219	5	114	2020-10-20	2024-06-03	2024-06-18	Family Style
220	13	25	2015-09-15	2016-02-11	2016-02-15	Family Style
221	4	90	2020-12-22	2029-08-23	2029-09-12	Suite
222	7	86	2014-11-25	2021-07-04	2021-07-08	Family Style
223	12	58	2022-10-12	2027-03-02	2027-03-12	Penthouse
224	5	117	2012-10-16	2019-04-24	2019-04-26	Single
225	3	27	2022-05-24	2028-09-21	2028-10-09	Smoking Single
226	3	132	2015-07-23	2020-11-02	2020-11-19	Smoking Double
227	18	197	2023-10-03	2028-02-07	2028-02-13	Penthouse
228	14	55	2010-01-11	2020-11-10	2020-11-14	Smoking Single
229	15	113	2021-10-28	2029-02-03	2029-02-13	Penthouse
230	19	153	2019-03-17	2021-01-30	2021-02-10	Smoking Double
231	14	131	2023-07-13	2026-11-03	2026-11-05	Smoking Single
232	4	144	2012-08-25	2013-02-15	2013-02-26	Double
233	3	66	2023-05-21	2029-02-23	2029-03-06	Double
234	16	144	2016-12-29	2022-03-07	2022-03-09	Double
235	2	159	2021-05-21	2025-11-02	2025-11-21	Smoking Single
236	7	28	2013-04-04	2014-05-24	2014-05-27	Family Style
237	15	172	2020-01-21	2026-02-17	2026-02-21	Smoking Single
238	6	14	2016-05-29	2016-07-28	2016-07-30	Double
239	15	34	2021-06-07	2027-06-04	2027-06-22	Family Style
240	4	139	2017-06-17	2019-09-26	2019-10-15	Penthouse
241	11	176	2022-02-05	2025-03-20	2025-03-23	Single
242	5	196	2017-08-12	2018-07-16	2018-08-03	Penthouse
243	13	13	2022-07-01	2027-12-07	2027-12-11	King
244	11	196	2015-07-17	2024-02-04	2024-02-24	Suite
245	20	172	2023-02-01	2024-08-07	2024-08-21	Family Style
246	12	79	2012-04-17	2017-03-30	2017-04-07	Double
247	15	194	2020-06-22	2025-08-29	2025-09-19	Family Style
248	8	102	2018-01-21	2018-07-13	2018-07-16	Penthouse
249	4	70	2023-11-07	2027-01-08	2027-01-15	Family Style
250	11	130	2011-11-08	2022-09-28	2022-09-29	Suite
251	20	171	2022-09-13	2027-06-16	2027-06-21	Smoking Single
252	9	131	2018-07-20	2022-06-12	2022-06-21	King
253	9	64	2021-08-07	2027-06-19	2027-07-04	Smoking Double
254	6	20	2013-04-12	2016-05-26	2016-05-29	Smoking Double
255	5	86	2020-03-16	2024-07-30	2024-08-13	Family Style
256	4	26	2018-09-17	2021-01-10	2021-01-23	Suite
257	13	42	2022-12-24	2029-04-05	2029-04-17	Smoking Single
258	10	121	2016-12-16	2022-09-16	2022-09-26	Smoking Single
259	18	94	2020-01-26	2027-07-12	2027-08-02	Smoking Double
260	14	196	2013-12-11	2018-03-25	2018-03-31	Suite
261	11	18	2023-11-11	2027-12-21	2028-01-09	Family Style
262	11	65	2012-02-11	2013-01-01	2013-01-10	Single
263	20	118	2021-06-26	2026-05-13	2026-05-22	Smoking Double
264	14	3	2012-12-21	2022-08-19	2022-08-26	Smoking Single
265	18	71	2023-06-20	2025-07-04	2025-07-11	Smoking Double
266	3	66	2014-07-01	2016-12-11	2016-12-30	Single
267	12	140	2022-04-16	2025-12-24	2026-01-12	Smoking Double
268	16	73	2017-04-14	2023-04-17	2023-04-22	Single
269	14	70	2021-05-06	2026-12-23	2027-01-07	Smoking Double
270	10	97	2013-04-19	2018-09-25	2018-10-07	King
271	7	1	2022-07-12	2029-01-30	2029-02-09	Double
272	10	20	2011-08-15	2016-04-14	2016-05-02	Single
273	6	167	2021-08-06	2025-10-20	2025-10-24	Suite
274	16	68	2017-11-22	2023-06-25	2023-06-29	Family Style
275	11	140	2021-01-16	2028-05-25	2028-05-29	Double
276	3	186	2018-01-12	2023-10-01	2023-10-09	Double
277	13	26	2023-08-01	2027-04-17	2027-04-18	Single
278	8	51	2016-04-27	2017-07-20	2017-07-29	Family Style
279	3	47	2022-07-21	2028-03-29	2028-04-06	Penthouse
280	3	144	2018-09-05	2022-09-23	2022-10-12	King
281	10	77	2020-06-05	2028-06-28	2028-07-07	Smoking Single
282	14	192	2011-07-18	2018-04-04	2018-04-11	Double
283	15	62	2023-01-09	2025-05-03	2025-05-19	Family Style
284	4	74	2013-05-09	2020-01-28	2020-02-17	King
285	12	62	2022-05-10	2028-02-26	2028-03-13	Family Style
286	20	9	2014-09-27	2019-03-19	2019-03-26	Smoking Single
287	4	170	2020-01-08	2025-10-03	2025-10-14	Penthouse
288	16	53	2017-08-08	2019-03-10	2019-03-22	Double
289	4	62	2021-05-13	2028-04-08	2028-04-25	Single
290	14	128	2017-06-11	2022-11-27	2022-11-29	Smoking Single
291	10	118	2020-09-16	2027-03-24	2027-04-01	Suite
292	19	84	2017-04-17	2019-03-16	2019-04-04	Suite
293	7	37	2023-03-30	2028-07-26	2028-08-04	Single
294	6	166	2013-03-22	2016-03-07	2016-03-23	Single
295	16	137	2023-05-04	2027-06-29	2027-07-16	Suite
296	2	68	2019-01-09	2021-06-09	2021-06-12	Suite
297	7	195	2021-02-04	2027-05-18	2027-05-30	Double
298	19	51	2018-02-03	2022-11-26	2022-12-13	Family Style
